packages/ai/src/utils/retry.ts:3-5	buildProviderErrorPattern	MATCH	crates/ri-llm-provider/src/retry.rs:10-12	join("|") + case-insensitive in both (JS i-flag vs Rust (?i)). Micro-edge: JS `.` excludes \r\n  , Rust `.` excludes only \n, so "rate\rlimit" is retryable in ri only; no realistic provider emits that.
packages/ai/src/utils/retry.ts:7-24	NON_RETRYABLE_PROVIDER_LIMIT_ERROR_PATTERN (8 alternatives)	MATCH	crates/ri-llm-provider/src/retry.rs:14-34	Identical pattern strings and order (GoUsageLimitError, FreeUsageLimitError, Monthly usage limit reached, available balance, insufficient_quota, out of budget, quota exceeded, billing).
packages/ai/src/utils/retry.ts:26-86	RETRYABLE_PROVIDER_ERROR_PATTERN (34 alternatives)	MATCH	crates/ri-llm-provider/src/retry.rs:36-90	Identical pattern strings and order, including status codes 429/500/502/503/504/524, transport text, websocket text, premature-stream text, retry-guidance text, ResourceExhausted.
packages/ai/src/utils/retry.ts:94-100	RetryPolicy interface (enabled, maxRetries, baseDelayMs)	MATCH	crates/ri-llm-provider/src/retry.rs:94-102	Same fields/semantics; maxRetries 0 = no retries, initial call never counts as retry.
packages/ai/src/utils/retry.ts:103-115	RetryCallbacks (onRetryScheduled/onRetryAttemptStart/onRetryFinished)	MATCH	crates/ri-llm-provider/src/retry.rs:104-115	Same three optional callbacks and argument lists. pi callbacks may be async and are awaited; ri closures are sync Fn - both harness usages are sync event emission, no observable gap.
packages/ai/src/utils/retry.ts:117-121	RetrySleepAbortError	MATCH	crates/ri-llm-provider/src/retry.rs:127-140	ri signals sleep-abort via bool return from retry_sleep instead of a sentinel exception; same observable outcome (normalized aborted message).
packages/ai/src/utils/retry.ts:123-139	sleep(ms, signal) abortable backoff	MATCH	crates/ri-llm-provider/src/retry.rs:123-140	Pre-aborted signal short-circuits before sleeping in both. pi cancels event-driven (immediate clearTimeout); ri polls the AtomicBool every 10ms (RETRY_SLEEP_POLL_MS) so abort during backoff is observed within <=10ms - functionally equivalent.
packages/ai/src/utils/retry.ts:165	maxAttempts = policy?.enabled ? policy.maxRetries : 0	MATCH	crates/ri-llm-provider/src/retry.rs:164-167	Disabled or missing policy means zero retries in both.
packages/ai/src/utils/retry.ts:170	await produce(); promise rejection propagates without retry	MATCH	crates/ri-llm-provider/src/retry.rs:172	ri `produce().await?` propagates Err un-retried, explicitly documented as mirroring pi rejection behavior.
packages/ai/src/utils/retry.ts:173-176	aborted stopReason branch (terminal, onRetryFinished(false, attempt) if a retry was scheduled)	MATCH	crates/ri-llm-provider/src/retry.rs:174-181	Same ordering (checked first) and same callback args (no final error passed).
packages/ai/src/utils/retry.ts:179-182	success branch (non-error return, onRetryFinished(true, attempt))	MATCH	crates/ri-llm-provider/src/retry.rs:184-192	Same.
packages/ai/src/utils/retry.ts:185-188	exhausted-or-non-retryable branch returns final error message	MATCH	crates/ri-llm-provider/src/retry.rs:194-202	Same check order (attempt >= max evaluated before classifier), onRetryFinished(false, attempt, errorMessage). Final shape after exhaustion identical: last provider AssistantMessage returned unchanged (stopReason error, provider errorMessage intact).
packages/ai/src/utils/retry.ts:190-191	attempt++ and lastRetry errorMessage || "Unknown error"	MATCH	crates/ri-llm-provider/src/retry.rs:204-209	pi maps empty-string errorMessage to "Unknown error" (|| falsy), ri only maps None - unreachable difference because the retryable classifier requires a non-empty message to reach this line.
packages/ai/src/utils/retry.ts:192	backoff formula baseDelayMs * 2^(attempt-1), no cap, no jitter	MATCH	crates/ri-llm-provider/src/retry.rs:210-213	Identical formula, no cap/jitter in either. ri saturates the shift at 62 and u64 multiply; pi float grows unbounded - divergence only past attempt 63, unreachable with sane maxRetries.
packages/ai/src/utils/retry.ts:193	onRetryScheduled(attempt, maxAttempts, delayMs, errorMessage) before sleep	MATCH	crates/ri-llm-provider/src/retry.rs:214-218	Same args, same 1-indexed attempt, emitted before backoff sleep.
packages/ai/src/utils/retry.ts:197-203	abort during backoff sleep normalizes to aborted AssistantMessage (errorMessage cleared) + onRetryFinished(false, attempt, errorMessage)	MATCH	crates/ri-llm-provider/src/retry.rs:222-233	Same: stop_reason set to Aborted, error_message cleared, same callback args, retains rest of last response.
packages/ai/src/utils/retry.ts:204	non-abort sleep rejection rethrows	MATCH	crates/ri-llm-provider/src/retry.rs:223	Dead code in pi (sleep only rejects with RetrySleepAbortError); ri retry_sleep is infallible - no observable difference.
packages/ai/src/utils/retry.ts:206	onRetryAttemptStart after sleep, before retried call	MATCH	crates/ri-llm-provider/src/retry.rs:234-238	Same placement.
packages/ai/src/utils/retry.ts:219-224	isRetryableAssistantError (error stopReason + non-empty message + non-retryable pattern checked before retryable)	MATCH	crates/ri-llm-provider/src/retry.rs:245-259	Same check order; ri's explicit is_empty() check is equivalent to JS falsy empty-string check.
packages/ai/src/utils/error-body.ts:16	MAX_PROVIDER_ERROR_BODY_CHARS = 4000	MATCH	crates/ri-llm-provider/src/http_api_provider.rs:2568	Same constant (also mistral.rs:18 MAX_MISTRAL_ERROR_BODY_CHARS=4000).
packages/ai/src/utils/error-body.ts:38-54	normalizeProviderError (SDK error-object normalizer)	MISSING_IN_RI	crates/ri-llm-provider/src/http_api_provider.rs:2584-2637 (closest)	No port of the normalizer as such: ri builds provider errors directly from raw HTTP status+body (openai_provider_error_from_body / provider_error_from_body), never from SDK error objects. Effective output compared branch-by-branch in the rows below; drifts are recorded there.
packages/ai/src/utils/error-body.ts:39-41	non-Error throw -> safeJsonStringify(error)	MISSING_IN_RI	-	Not applicable by architecture: ri's provider error channel is a typed String; there is no non-Error throw path to normalize. No behavioral gap.
packages/ai/src/utils/error-body.ts:46	messageCarriesBody dedup flag	MISSING_IN_RI	crates/ri-llm-provider/src/http_api_provider.rs:2600-2619	General "message already contains body" dedup not needed in ri (message is composed from the body once). Only the OpenRouter error.metadata.raw contains-dedup is ported (see openai-completions row). No concrete failure scenario.
packages/ai/src/utils/error-body.ts:61-67	extractStatus probe order (statusCode -> status -> $metadata.httpStatusCode -> $response.statusCode)	MATCH	- (status taken directly from reqwest response)	Effective parity: ri always has the real HTTP status from the response object, so the SDK field probing is unnecessary; no case where pi extracts a status ri lacks for HTTP-level errors.
packages/ai/src/utils/error-body.ts:76-82	extractBody: trim, empty -> no body, truncate to 4000	DRIFT	crates/ri-llm-provider/src/http_api_provider.rs:2584-2598 vs 2621-2637	openai/azure path (openai_provider_error_from_body) trims + truncates to 4000 like pi. BUT the anthropic/google/bedrock path (provider_error_from_body, http_api_provider.rs:1927/2012/2070) applies NO truncation: scenario - gateway returns 502 with a 1MB HTML body and no parseable error.message -> ri errorMessage = "Provider returned HTTP 502: <1MB HTML>" (untruncated, persisted to session); pi caps any separately-extracted body at 4000 chars ("... [truncated N chars]").
